In,Out,Date,Time,Branch,Group
35,71,12/27/2024,4:00 PM,Shadle Park,SH East
15,34,12/27/2024,4:00 PM,Liberty Park,LP Main
29,33,12/27/2024,4:00 PM,Indian Trail,IT Main
6,13,12/27/2024,4:00 PM,Hillyard,HY North
81,199,12/27/2024,4:00 PM,Central,1st Floor Main Entrance
54,54,12/27/2024,3:00 PM,South Hill,SO Main
60,70,12/27/2024,3:00 PM,Shadle Park,SH East
22,33,12/27/2024,3:00 PM,Liberty Park,LP Main
20,17,12/27/2024,3:00 PM,Indian Trail,IT Main
10,15,12/27/2024,3:00 PM,Hillyard,HY North
110,161,12/27/2024,3:00 PM,Central,1st Floor Main Entrance
60,52,12/27/2024,2:00 PM,South Hill,SO Main
72,65,12/27/2024,2:00 PM,Shadle Park,SH East
33,24,12/27/2024,2:00 PM,Liberty Park,LP Main
31,27,12/27/2024,2:00 PM,Indian Trail,IT Main
20,10,12/27/2024,2:00 PM,Hillyard,HY North
139,129,12/27/2024,2:00 PM,Central,1st Floor Main Entrance
55,61,12/27/2024,1:00 PM,South Hill,SO Main
87,85,12/27/2024,1:00 PM,Shadle Park,SH East
22,24,12/27/2024,1:00 PM,Liberty Park,LP Main
14,21,12/27/2024,1:00 PM,Indian Trail,IT Main
11,31,12/27/2024,1:00 PM,Hillyard,HY North
138,181,12/27/2024,1:00 PM,Central,1st Floor Main Entrance
72,72,12/27/2024,12:00 PM,South Hill,SO Main
65,66,12/27/2024,12:00 PM,Shadle Park,SH East
44,45,12/27/2024,12:00 PM,Liberty Park,LP Main
23,31,12/27/2024,12:00 PM,Indian Trail,IT Main
21,12,12/27/2024,12:00 PM,Hillyard,HY North
156,139,12/27/2024,12:00 PM,Central,1st Floor Main Entrance
54,49,12/27/2024,11:00 AM,South Hill,SO Main
103,74,12/27/2024,11:00 AM,Shadle Park,SH East
24,25,12/27/2024,11:00 AM,Liberty Park,LP Main
33,34,12/27/2024,11:00 AM,Indian Trail,IT Main
16,18,12/27/2024,11:00 AM,Hillyard,HY North
136,148,12/27/2024,11:00 AM,Central,1st Floor Main Entrance
99,53,12/27/2024,10:00 AM,South Hill,SO Main
63,31,12/27/2024,10:00 AM,Shadle Park,SH East
