In,Out,Date,Time,Branch,Group
5,17,5/18/2022,8:00 AM,Shadle Park,SH East
13,12,5/18/2022,8:00 AM,Liberty Park,LP Main
25,35,5/18/2022,8:00 AM,Hillyard,HY North
11,21,5/18/2022,7:00 AM,Liberty Park,LP Main
5,1,5/18/2022,7:00 AM,Hillyard,HY North
7,10,5/17/2022,9:00 PM,Hillyard,HY South
16,10,5/17/2022,8:00 PM,Hillyard,HY South
1,1,5/17/2022,7:00 PM,Shadle Park,SH West
5,16,5/17/2022,7:00 PM,Liberty Park,LP Main
1,7,5/17/2022,7:00 PM,Hillyard,HY North
17,49,5/17/2022,6:00 PM,Shadle Park,SH East
13,25,5/17/2022,6:00 PM,Liberty Park,LP Main
15,53,5/17/2022,6:00 PM,Hillyard,HY North
39,59,5/17/2022,5:00 PM,Shadle Park,SH East
29,41,5/17/2022,5:00 PM,Liberty Park,LP Main
54,52,5/17/2022,5:00 PM,Hillyard,HY North
64,59,5/17/2022,4:00 PM,Shadle Park,SH East
59,77,5/17/2022,4:00 PM,Liberty Park,LP Main
32,33,5/17/2022,4:00 PM,Hillyard,HY North
52,47,5/17/2022,3:00 PM,Shadle Park,SH East
60,43,5/17/2022,3:00 PM,Liberty Park,LP Main
55,55,5/17/2022,3:00 PM,Hillyard,HY North
69,71,5/17/2022,2:00 PM,Shadle Park,SH East
38,47,5/17/2022,2:00 PM,Liberty Park,LP Main
46,47,5/17/2022,2:00 PM,Hillyard,HY North
71,47,5/17/2022,1:00 PM,Shadle Park,SH East
42,45,5/17/2022,1:00 PM,Liberty Park,LP Main
64,45,5/17/2022,1:00 PM,Hillyard,HY North
67,90,5/17/2022,12:00 PM,Shadle Park,SH East
46,34,5/17/2022,12:00 PM,Liberty Park,LP Main
48,52,5/17/2022,12:00 PM,Hillyard,HY North
69,57,5/17/2022,11:00 AM,Shadle Park,SH East
58,126,5/17/2022,11:00 AM,Liberty Park,LP Main
50,46,5/17/2022,11:00 AM,Hillyard,HY North
54,34,5/17/2022,10:00 AM,Shadle Park,SH East
89,73,5/17/2022,10:00 AM,Liberty Park,LP Main
30,18,5/17/2022,10:00 AM,Hillyard,HY North
59,23,5/17/2022,9:00 AM,Shadle Park,SH East
111,39,5/17/2022,9:00 AM,Liberty Park,LP Main
17,14,5/17/2022,9:00 AM,Hillyard,HY North
14,38,5/17/2022,8:00 AM,Shadle Park,SH East
18,22,5/17/2022,8:00 AM,Liberty Park,LP Main
9,10,5/17/2022,8:00 AM,Hillyard,HY North
7,10,5/17/2022,7:00 AM,Shadle Park,SH East
22,21,5/17/2022,7:00 AM,Liberty Park,LP Main
7,1,5/17/2022,7:00 AM,Hillyard,HY North
5,7,5/16/2022,9:00 PM,Hillyard,HY South
9,4,5/16/2022,8:00 PM,Hillyard,HY South
1,3,5/16/2022,7:00 PM,Liberty Park,LP Main
1,6,5/16/2022,7:00 PM,Hillyard,HY North
25,69,5/16/2022,6:00 PM,Shadle Park,SH East
29,42,5/16/2022,6:00 PM,Liberty Park,LP Main
9,22,5/16/2022,6:00 PM,Hillyard,HY North
43,32,5/16/2022,5:00 PM,Shadle Park,SH East
22,21,5/16/2022,5:00 PM,Liberty Park,LP Main
9,12,5/16/2022,5:00 PM,Hillyard,HY North
35,52,5/16/2022,4:00 PM,Shadle Park,SH East
24,45,5/16/2022,4:00 PM,Liberty Park,LP Main
25,27,5/16/2022,4:00 PM,Hillyard,HY North
71,62,5/16/2022,3:00 PM,Shadle Park,SH East
40,44,5/16/2022,3:00 PM,Liberty Park,LP Main
52,69,5/16/2022,3:00 PM,Hillyard,HY North
70,71,5/16/2022,2:00 PM,Shadle Park,SH East
48,50,5/16/2022,2:00 PM,Liberty Park,LP Main
52,34,5/16/2022,2:00 PM,Hillyard,HY North
69,53,5/16/2022,1:00 PM,Shadle Park,SH East
39,51,5/16/2022,1:00 PM,Liberty Park,LP Main
47,44,5/16/2022,1:00 PM,Hillyard,HY North
46,57,5/16/2022,12:00 PM,Shadle Park,SH East
48,36,5/16/2022,12:00 PM,Liberty Park,LP Main
59,55,5/16/2022,12:00 PM,Hillyard,HY North
69,102,5/16/2022,11:00 AM,Shadle Park,SH East
29,30,5/16/2022,11:00 AM,Liberty Park,LP Main
51,29,5/16/2022,11:00 AM,Hillyard,HY North
75,62,5/16/2022,10:00 AM,Shadle Park,SH East
31,24,5/16/2022,10:00 AM,Liberty Park,LP Main
16,16,5/16/2022,10:00 AM,Hillyard,HY North
85,22,5/16/2022,9:00 AM,Shadle Park,SH East
30,20,5/16/2022,9:00 AM,Liberty Park,LP Main
14,8,5/16/2022,9:00 AM,Hillyard,HY North
5,3,5/16/2022,8:00 AM,Shadle Park,SH East
4,1,5/16/2022,8:00 AM,Liberty Park,LP Main
14,14,5/16/2022,8:00 AM,Hillyard,HY North
2,0,5/16/2022,7:00 AM,Shadle Park,SH West
19,13,5/16/2022,7:00 AM,Liberty Park,LP Main
8,7,5/16/2022,7:00 AM,Hillyard,HY North
14,9,5/16/2022,6:00 AM,Liberty Park,LP Main
0,1,5/16/2022,6:00 AM,Hillyard,HY South
1,0,5/16/2022,5:00 AM,Hillyard,HY South
5,3,5/15/2022,4:00 PM,Shadle Park,SH East
2,3,5/15/2022,4:00 PM,Liberty Park,LP Main
0,3,5/15/2022,4:00 PM,Hillyard,HY North
43,87,5/15/2022,3:00 PM,Shadle Park,SH East
28,51,5/15/2022,3:00 PM,Liberty Park,LP Main
6,13,5/15/2022,3:00 PM,Hillyard,HY North
40,47,5/15/2022,2:00 PM,Shadle Park,SH East
34,60,5/15/2022,2:00 PM,Liberty Park,LP Main
14,32,5/15/2022,2:00 PM,Hillyard,HY North
74,40,5/15/2022,1:00 PM,Shadle Park,SH East
51,35,5/15/2022,1:00 PM,Liberty Park,LP Main
23,32,5/15/2022,1:00 PM,Hillyard,HY North
68,40,5/15/2022,12:00 PM,Shadle Park,SH East
45,24,5/15/2022,12:00 PM,Liberty Park,LP Main
59,28,5/15/2022,12:00 PM,Hillyard,HY North
2,1,5/15/2022,11:00 AM,Liberty Park,LP Main
2,0,5/15/2022,11:00 AM,Hillyard,HY North
1,1,5/15/2022,10:00 AM,Liberty Park,LP Main
18,19,5/15/2022,9:00 AM,Liberty Park,LP Main
52,25,5/15/2022,7:00 AM,Shadle Park,SH East
1,3,5/15/2022,7:00 AM,Hillyard,HY North
0,2,5/15/2022,6:00 AM,Shadle Park,SH East
17,19,5/15/2022,6:00 AM,Hillyard,HY North
1,2,5/15/2022,5:00 AM,Hillyard,HY South
3,6,5/15/2022,4:00 AM,Hillyard,HY North
0,6,5/14/2022,5:00 PM,Shadle Park,SH East
3,17,5/14/2022,5:00 PM,Liberty Park,LP Main
33,13,5/14/2022,5:00 PM,Hillyard,HY North
28,91,5/14/2022,4:00 PM,Shadle Park,SH East
40,71,5/14/2022,4:00 PM,Liberty Park,LP Main
10,17,5/14/2022,4:00 PM,Hillyard,HY North
94,120,5/14/2022,3:00 PM,Shadle Park,SH East
49,57,5/14/2022,3:00 PM,Liberty Park,LP Main
30,97,5/14/2022,3:00 PM,Hillyard,HY North
70,62,5/14/2022,2:00 PM,Shadle Park,SH East
58,53,5/14/2022,2:00 PM,Liberty Park,LP Main
43,27,5/14/2022,2:00 PM,Hillyard,HY North
79,71,5/14/2022,1:00 PM,Shadle Park,SH East
51,37,5/14/2022,1:00 PM,Liberty Park,LP Main
25,33,5/14/2022,1:00 PM,Hillyard,HY North
104,133,5/14/2022,12:00 PM,Shadle Park,SH East
49,46,5/14/2022,12:00 PM,Liberty Park,LP Main
53,25,5/14/2022,12:00 PM,Hillyard,HY North
97,111,5/14/2022,11:00 AM,Shadle Park,SH East
46,54,5/14/2022,11:00 AM,Liberty Park,LP Main
19,10,5/14/2022,11:00 AM,Hillyard,HY North
193,74,5/14/2022,10:00 AM,Shadle Park,SH East
50,26,5/14/2022,10:00 AM,Liberty Park,LP Main
17,7,5/14/2022,10:00 AM,Hillyard,HY North
4,1,5/14/2022,8:00 AM,Liberty Park,LP Main
4,8,5/14/2022,8:00 AM,Hillyard,HY North
4,7,5/14/2022,7:00 AM,Shadle Park,SH East
14,19,5/14/2022,7:00 AM,Liberty Park,LP Main
16,17,5/14/2022,7:00 AM,Hillyard,HY North
16,10,5/14/2022,6:00 AM,Liberty Park,LP Main
9,19,5/14/2022,6:00 AM,Hillyard,HY North
1,1,5/14/2022,5:00 AM,Liberty Park,LP Main
2,2,5/14/2022,5:00 AM,Hillyard,HY North
1,0,5/14/2022,4:00 AM,Hillyard,HY North
2,2,5/13/2022,10:00 PM,Hillyard,HY South
13,19,5/13/2022,9:00 PM,Hillyard,HY North
8,2,5/13/2022,8:00 PM,Hillyard,HY South
4,3,5/13/2022,7:00 PM,Hillyard,HY South
1,3,5/13/2022,6:00 PM,Liberty Park,LP Main
0,8,5/13/2022,5:00 PM,Shadle Park,SH East
1,6,5/13/2022,5:00 PM,Liberty Park,LP Main
0,4,5/13/2022,5:00 PM,Hillyard,HY North
41,80,5/13/2022,4:00 PM,Shadle Park,SH East
33,38,5/13/2022,4:00 PM,Liberty Park,LP Main
15,22,5/13/2022,4:00 PM,Hillyard,HY North
63,91,5/13/2022,3:00 PM,Shadle Park,SH East
36,50,5/13/2022,3:00 PM,Liberty Park,LP Main
63,94,5/13/2022,3:00 PM,Hillyard,HY North
47,64,5/13/2022,2:00 PM,Shadle Park,SH East
28,29,5/13/2022,2:00 PM,Liberty Park,LP Main
37,28,5/13/2022,2:00 PM,Hillyard,HY North
74,69,5/13/2022,1:00 PM,Shadle Park,SH East
23,31,5/13/2022,1:00 PM,Liberty Park,LP Main
14,24,5/13/2022,1:00 PM,Hillyard,HY North
112,65,5/13/2022,12:00 PM,Shadle Park,SH East
44,34,5/13/2022,12:00 PM,Liberty Park,LP Main
68,90,5/13/2022,12:00 PM,Hillyard,HY North
59,69,5/13/2022,11:00 AM,Shadle Park,SH East
33,52,5/13/2022,11:00 AM,Liberty Park,LP Main
64,65,5/13/2022,11:00 AM,Hillyard,HY North
130,72,5/13/2022,10:00 AM,Shadle Park,SH East
71,41,5/13/2022,10:00 AM,Liberty Park,LP Main
37,20,5/13/2022,10:00 AM,Hillyard,HY North
1,1,5/13/2022,9:00 AM,Shadle Park,SH West
5,2,5/13/2022,9:00 AM,Liberty Park,LP Main
22,16,5/13/2022,9:00 AM,Hillyard,HY North
10,12,5/13/2022,8:00 AM,Shadle Park,SH East
16,12,5/13/2022,8:00 AM,Liberty Park,LP Main
18,23,5/13/2022,8:00 AM,Hillyard,HY North
9,5,5/13/2022,7:00 AM,Shadle Park,SH East
8,11,5/13/2022,7:00 AM,Liberty Park,LP Main
38,40,5/13/2022,7:00 AM,Hillyard,HY North
8,7,5/12/2022,10:00 PM,Hillyard,HY South
5,1,5/12/2022,9:00 PM,Hillyard,HY South
1,1,5/12/2022,7:00 PM,Liberty Park,LP Main
0,3,5/12/2022,7:00 PM,Hillyard,HY North
22,55,5/12/2022,6:00 PM,Shadle Park,SH East
13,31,5/12/2022,6:00 PM,Liberty Park,LP Main
8,62,5/12/2022,6:00 PM,Hillyard,HY North
43,57,5/12/2022,5:00 PM,Shadle Park,SH East
17,34,5/12/2022,5:00 PM,Liberty Park,LP Main
42,30,5/12/2022,5:00 PM,Hillyard,HY North
81,87,5/12/2022,4:00 PM,Shadle Park,SH East
32,34,5/12/2022,4:00 PM,Liberty Park,LP Main
51,36,5/12/2022,4:00 PM,Hillyard,HY North
80,63,5/12/2022,3:00 PM,Shadle Park,SH East
34,31,5/12/2022,3:00 PM,Liberty Park,LP Main
61,78,5/12/2022,3:00 PM,Hillyard,HY North
60,53,5/12/2022,2:00 PM,Shadle Park,SH East
34,29,5/12/2022,2:00 PM,Liberty Park,LP Main
56,33,5/12/2022,2:00 PM,Hillyard,HY North
58,66,5/12/2022,1:00 PM,Shadle Park,SH East
39,63,5/12/2022,1:00 PM,Liberty Park,LP Main
42,44,5/12/2022,1:00 PM,Hillyard,HY North
61,52,5/12/2022,12:00 PM,Shadle Park,SH East
44,52,5/12/2022,12:00 PM,Liberty Park,LP Main
58,69,5/12/2022,12:00 PM,Hillyard,HY North
77,133,5/12/2022,11:00 AM,Shadle Park,SH East
51,30,5/12/2022,11:00 AM,Liberty Park,LP Main
47,29,5/12/2022,11:00 AM,Hillyard,HY North
97,76,5/12/2022,10:00 AM,Shadle Park,SH East
49,39,5/12/2022,10:00 AM,Liberty Park,LP Main
27,25,5/12/2022,10:00 AM,Hillyard,HY North
105,31,5/12/2022,9:00 AM,Shadle Park,SH East
30,11,5/12/2022,9:00 AM,Liberty Park,LP Main
13,5,5/12/2022,9:00 AM,Hillyard,HY North
10,10,5/12/2022,8:00 AM,Liberty Park,LP Main
15,15,5/12/2022,8:00 AM,Hillyard,HY North
7,30,5/12/2022,7:00 AM,Shadle Park,SH East
3,5,5/12/2022,7:00 AM,Liberty Park,LP Main
8,4,5/12/2022,7:00 AM,Hillyard,HY North
7,9,5/12/2022,6:00 AM,Liberty Park,LP Main
4,6,5/11/2022,9:00 PM,Hillyard,HY South
7,6,5/11/2022,8:00 PM,Hillyard,HY South
0,1,5/11/2022,7:00 PM,Shadle Park,SH East
0,2,5/11/2022,7:00 PM,Hillyard,HY North
25,34,5/11/2022,6:00 PM,Shadle Park,SH East
15,36,5/11/2022,6:00 PM,Liberty Park,LP Main
2,8,5/11/2022,6:00 PM,Hillyard,HY North
55,73,5/11/2022,5:00 PM,Shadle Park,SH East
20,39,5/11/2022,5:00 PM,Liberty Park,LP Main
12,28,5/11/2022,5:00 PM,Hillyard,HY North
56,81,5/11/2022,4:00 PM,Shadle Park,SH East
27,22,5/11/2022,4:00 PM,Liberty Park,LP Main
48,48,5/11/2022,4:00 PM,Hillyard,HY North
94,64,5/11/2022,3:00 PM,Shadle Park,SH East
26,18,5/11/2022,3:00 PM,Liberty Park,LP Main
35,42,5/11/2022,3:00 PM,Hillyard,HY North
75,52,5/11/2022,2:00 PM,Shadle Park,SH East
37,40,5/11/2022,2:00 PM,Liberty Park,LP Main
49,46,5/11/2022,2:00 PM,Hillyard,HY North
66,66,5/11/2022,1:00 PM,Shadle Park,SH East
29,31,5/11/2022,1:00 PM,Liberty Park,LP Main
52,33,5/11/2022,1:00 PM,Hillyard,HY North
65,55,5/11/2022,12:00 PM,Shadle Park,SH East
39,59,5/11/2022,12:00 PM,Liberty Park,LP Main
52,55,5/11/2022,12:00 PM,Hillyard,HY North
31,50,5/11/2022,11:00 AM,Shadle Park,SH East
28,36,5/11/2022,11:00 AM,Liberty Park,LP Main
41,41,5/11/2022,11:00 AM,Hillyard,HY North
60,43,5/11/2022,10:00 AM,Shadle Park,SH East
47,40,5/11/2022,10:00 AM,Liberty Park,LP Main
30,37,5/11/2022,10:00 AM,Hillyard,HY North
49,32,5/11/2022,9:00 AM,Shadle Park,SH East
39,16,5/11/2022,9:00 AM,Liberty Park,LP Main
55,38,5/11/2022,9:00 AM,Hillyard,HY North
1,0,5/11/2022,8:00 AM,Shadle Park,SH East
16,17,5/11/2022,8:00 AM,Liberty Park,LP Main
29,34,5/11/2022,8:00 AM,Hillyard,HY North
1,1,5/11/2022,7:00 AM,Shadle Park,SH East
5,9,5/11/2022,7:00 AM,Liberty Park,LP Main
5,5,5/11/2022,7:00 AM,Hillyard,HY South
5,4,5/11/2022,5:00 AM,Hillyard,HY North
12,17,5/10/2022,10:00 PM,Hillyard,HY North
5,2,5/10/2022,9:00 PM,Hillyard,HY South
6,4,5/10/2022,8:00 PM,Hillyard,HY South
0,3,5/10/2022,7:00 PM,Liberty Park,LP Main
3,5,5/10/2022,7:00 PM,Hillyard,HY North
40,72,5/10/2022,6:00 PM,Shadle Park,SH East
14,33,5/10/2022,6:00 PM,Liberty Park,LP Main
9,15,5/10/2022,6:00 PM,Hillyard,HY North
62,76,5/10/2022,5:00 PM,Shadle Park,SH East
67,78,5/10/2022,5:00 PM,Liberty Park,LP Main
15,35,5/10/2022,5:00 PM,Hillyard,HY North
67,65,5/10/2022,4:00 PM,Shadle Park,SH East
58,67,5/10/2022,4:00 PM,Liberty Park,LP Main
27,24,5/10/2022,4:00 PM,Hillyard,HY North
69,54,5/10/2022,3:00 PM,Shadle Park,SH East
68,68,5/10/2022,3:00 PM,Liberty Park,LP Main
44,52,5/10/2022,3:00 PM,Hillyard,HY North
65,51,5/10/2022,2:00 PM,Shadle Park,SH East
52,38,5/10/2022,2:00 PM,Liberty Park,LP Main
45,20,5/10/2022,2:00 PM,Hillyard,HY North
45,52,5/10/2022,1:00 PM,Shadle Park,SH East
49,62,5/10/2022,1:00 PM,Liberty Park,LP Main
76,61,5/10/2022,1:00 PM,Hillyard,HY North
63,50,5/10/2022,12:00 PM,Shadle Park,SH East
43,48,5/10/2022,12:00 PM,Liberty Park,LP Main
25,50,5/10/2022,12:00 PM,Hillyard,HY North
49,68,5/10/2022,11:00 AM,Shadle Park,SH East
46,59,5/10/2022,11:00 AM,Liberty Park,LP Main
72,65,5/10/2022,11:00 AM,Hillyard,HY North
54,42,5/10/2022,10:00 AM,Shadle Park,SH East
65,52,5/10/2022,10:00 AM,Liberty Park,LP Main
19,17,5/10/2022,10:00 AM,Hillyard,HY North
49,27,5/10/2022,9:00 AM,Shadle Park,SH East
67,17,5/10/2022,9:00 AM,Liberty Park,LP Main
18,5,5/10/2022,9:00 AM,Hillyard,HY North
5,3,5/10/2022,8:00 AM,Shadle Park,SH East
6,8,5/10/2022,8:00 AM,Liberty Park,LP Main
11,8,5/10/2022,8:00 AM,Hillyard,HY North
5,5,5/10/2022,7:00 AM,Shadle Park,SH East
3,1,5/10/2022,7:00 AM,Liberty Park,LP Main
3,2,5/10/2022,6:00 AM,Liberty Park,LP Main
6,8,5/9/2022,10:00 PM,Hillyard,HY South
5,3,5/9/2022,9:00 PM,Hillyard,HY South
8,4,5/9/2022,8:00 PM,Hillyard,HY South
0,3,5/9/2022,7:00 PM,Liberty Park,LP Main
1,4,5/9/2022,7:00 PM,Hillyard,HY North
12,55,5/9/2022,6:00 PM,Shadle Park,SH East
20,49,5/9/2022,6:00 PM,Liberty Park,LP Main
2,10,5/9/2022,6:00 PM,Hillyard,HY North
48,63,5/9/2022,5:00 PM,Shadle Park,SH East
25,32,5/9/2022,5:00 PM,Liberty Park,LP Main
13,38,5/9/2022,5:00 PM,Hillyard,HY North
66,85,5/9/2022,4:00 PM,Shadle Park,SH East
18,23,5/9/2022,4:00 PM,Liberty Park,LP Main
36,36,5/9/2022,4:00 PM,Hillyard,HY North
78,56,5/9/2022,3:00 PM,Shadle Park,SH East
32,24,5/9/2022,3:00 PM,Liberty Park,LP Main
38,34,5/9/2022,3:00 PM,Hillyard,HY North
70,62,5/9/2022,2:00 PM,Shadle Park,SH East
37,70,5/9/2022,2:00 PM,Liberty Park,LP Main
38,41,5/9/2022,2:00 PM,Hillyard,HY North
48,36,5/9/2022,1:00 PM,Shadle Park,SH East
28,24,5/9/2022,1:00 PM,Liberty Park,LP Main
77,63,5/9/2022,1:00 PM,Hillyard,HY North
61,61,5/9/2022,12:00 PM,Shadle Park,SH East
47,62,5/9/2022,12:00 PM,Liberty Park,LP Main
51,52,5/9/2022,12:00 PM,Hillyard,HY North
54,92,5/9/2022,11:00 AM,Shadle Park,SH East
51,47,5/9/2022,11:00 AM,Liberty Park,LP Main
40,31,5/9/2022,11:00 AM,Hillyard,HY North
90,81,5/9/2022,10:00 AM,Shadle Park,SH East
44,32,5/9/2022,10:00 AM,Liberty Park,LP Main
21,27,5/9/2022,10:00 AM,Hillyard,HY North
85,24,5/9/2022,9:00 AM,Shadle Park,SH East
33,19,5/9/2022,9:00 AM,Liberty Park,LP Main
15,7,5/9/2022,9:00 AM,Hillyard,HY North
5,2,5/9/2022,8:00 AM,Shadle Park,SH East
14,23,5/9/2022,8:00 AM,Liberty Park,LP Main
15,13,5/9/2022,8:00 AM,Hillyard,HY North
4,0,5/9/2022,7:00 AM,Liberty Park,LP Main
2,5,5/9/2022,7:00 AM,Hillyard,HY North
3,2,5/9/2022,6:00 AM,Shadle Park,SH West
3,3,5/9/2022,5:00 AM,Hillyard,HY South
0,6,5/8/2022,4:00 PM,Shadle Park,SH East
1,6,5/8/2022,4:00 PM,Liberty Park,LP Main
0,2,5/8/2022,4:00 PM,Hillyard,HY North
41,68,5/8/2022,3:00 PM,Shadle Park,SH East
28,51,5/8/2022,3:00 PM,Liberty Park,LP Main
12,19,5/8/2022,3:00 PM,Hillyard,HY North
47,46,5/8/2022,2:00 PM,Shadle Park,SH East
36,44,5/8/2022,2:00 PM,Liberty Park,LP Main
9,5,5/8/2022,2:00 PM,Hillyard,HY North
50,40,5/8/2022,1:00 PM,Shadle Park,SH East
44,39,5/8/2022,1:00 PM,Liberty Park,LP Main
6,5,5/8/2022,1:00 PM,Hillyard,HY North
47,22,5/8/2022,12:00 PM,Shadle Park,SH East
43,29,5/8/2022,12:00 PM,Liberty Park,LP Main
10,13,5/8/2022,12:00 PM,Hillyard,HY North
2,1,5/8/2022,11:00 AM,Shadle Park,SH West
1,1,5/8/2022,11:00 AM,Liberty Park,LP Main
2,0,5/8/2022,11:00 AM,Hillyard,HY North
2,0,5/8/2022,10:00 AM,Liberty Park,LP Main
8,18,5/8/2022,9:00 AM,Liberty Park,LP Main
13,7,5/8/2022,8:00 AM,Liberty Park,LP Main
0,3,5/8/2022,8:00 AM,Hillyard,HY North
2,0,5/8/2022,7:00 AM,Shadle Park,SH East
10,15,5/8/2022,7:00 AM,Hillyard,HY North
35,18,5/8/2022,6:00 AM,Shadle Park,SH East
2,2,5/8/2022,6:00 AM,Hillyard,HY North
0,4,5/7/2022,5:00 PM,Shadle Park,SH East
1,5,5/7/2022,5:00 PM,Liberty Park,LP Main
1,7,5/7/2022,5:00 PM,Hillyard,HY North
46,101,5/7/2022,4:00 PM,Shadle Park,SH East
37,72,5/7/2022,4:00 PM,Liberty Park,LP Main
12,21,5/7/2022,4:00 PM,Hillyard,HY North
62,74,5/7/2022,3:00 PM,Shadle Park,SH East
29,28,5/7/2022,3:00 PM,Liberty Park,LP Main
10,14,5/7/2022,3:00 PM,Hillyard,HY North
77,86,5/7/2022,2:00 PM,Shadle Park,SH East
26,26,5/7/2022,2:00 PM,Liberty Park,LP Main
11,19,5/7/2022,2:00 PM,Hillyard,HY North
75,66,5/7/2022,1:00 PM,Shadle Park,SH East
38,34,5/7/2022,1:00 PM,Liberty Park,LP Main
26,14,5/7/2022,1:00 PM,Hillyard,HY North
89,48,5/7/2022,12:00 PM,Shadle Park,SH East
59,71,5/7/2022,12:00 PM,Liberty Park,LP Main
13,9,5/7/2022,12:00 PM,Hillyard,HY North
62,80,5/7/2022,11:00 AM,Shadle Park,SH East
42,58,5/7/2022,11:00 AM,Liberty Park,LP Main
16,30,5/7/2022,11:00 AM,Hillyard,HY North
112,48,5/7/2022,10:00 AM,Shadle Park,SH East
61,32,5/7/2022,10:00 AM,Liberty Park,LP Main
15,4,5/7/2022,10:00 AM,Hillyard,HY North
27,22,5/7/2022,9:00 AM,Shadle Park,SH East
1,0,5/7/2022,9:00 AM,Liberty Park,LP Main
1,0,5/7/2022,9:00 AM,Hillyard,HY North
3,1,5/7/2022,8:00 AM,Shadle Park,SH East
2,0,5/7/2022,8:00 AM,Liberty Park,LP Main
16,17,5/7/2022,8:00 AM,Hillyard,HY North
2,1,5/7/2022,7:00 AM,Shadle Park,SH West
21,31,5/7/2022,7:00 AM,Liberty Park,LP Main
12,24,5/7/2022,7:00 AM,Hillyard,HY North
12,16,5/7/2022,6:00 AM,Liberty Park,LP Main
6,6,5/7/2022,6:00 AM,Hillyard,HY North
3,5,5/7/2022,5:00 AM,Liberty Park,LP Main
2,1,5/7/2022,5:00 AM,Hillyard,HY North
11,14,5/6/2022,9:00 PM,Hillyard,HY South
5,2,5/6/2022,8:00 PM,Hillyard,HY South
2,2,5/6/2022,7:00 PM,Hillyard,HY South
1,3,5/6/2022,6:00 PM,Liberty Park,LP Main
0,8,5/6/2022,5:00 PM,Shadle Park,SH East
2,11,5/6/2022,5:00 PM,Liberty Park,LP Main
1,7,5/6/2022,5:00 PM,Hillyard,HY North
55,104,5/6/2022,4:00 PM,Shadle Park,SH East
47,55,5/6/2022,4:00 PM,Liberty Park,LP Main
10,27,5/6/2022,4:00 PM,Hillyard,HY North
89,103,5/6/2022,3:00 PM,Shadle Park,SH East
29,29,5/6/2022,3:00 PM,Liberty Park,LP Main
15,18,5/6/2022,3:00 PM,Hillyard,HY North
124,113,5/6/2022,2:00 PM,Shadle Park,SH East
24,33,5/6/2022,2:00 PM,Liberty Park,LP Main
69,60,5/6/2022,2:00 PM,Hillyard,HY North
82,73,5/6/2022,1:00 PM,Shadle Park,SH East
34,40,5/6/2022,1:00 PM,Liberty Park,LP Main
82,82,5/6/2022,1:00 PM,Hillyard,HY North
73,65,5/6/2022,12:00 PM,Shadle Park,SH East
45,42,5/6/2022,12:00 PM,Liberty Park,LP Main
18,14,5/6/2022,12:00 PM,Hillyard,HY North
79,72,5/6/2022,11:00 AM,Shadle Park,SH East
55,39,5/6/2022,11:00 AM,Liberty Park,LP Main
24,30,5/6/2022,11:00 AM,Hillyard,HY North
119,55,5/6/2022,10:00 AM,Shadle Park,SH East
53,36,5/6/2022,10:00 AM,Liberty Park,LP Main
41,28,5/6/2022,10:00 AM,Hillyard,HY North
18,21,5/6/2022,9:00 AM,Shadle Park,SH East
9,7,5/6/2022,9:00 AM,Liberty Park,LP Main
26,17,5/6/2022,9:00 AM,Hillyard,HY North
5,9,5/6/2022,8:00 AM,Shadle Park,SH East
15,10,5/6/2022,8:00 AM,Liberty Park,LP Main
5,5,5/6/2022,8:00 AM,Hillyard,HY North
0,1,5/6/2022,7:00 AM,Shadle Park,SH East
7,9,5/6/2022,7:00 AM,Liberty Park,LP Main
5,1,5/6/2022,7:00 AM,Hillyard,HY North
8,12,5/5/2022,10:00 PM,Hillyard,HY North
8,2,5/5/2022,9:00 PM,Hillyard,HY South
0,27,5/5/2022,7:00 PM,Shadle Park,SH East
1,15,5/5/2022,7:00 PM,Liberty Park,LP Main
2,11,5/5/2022,7:00 PM,Hillyard,HY North
40,76,5/5/2022,6:00 PM,Shadle Park,SH East
21,26,5/5/2022,6:00 PM,Liberty Park,LP Main
13,32,5/5/2022,6:00 PM,Hillyard,HY North
42,162,5/5/2022,5:00 PM,Shadle Park,SH East
20,36,5/5/2022,5:00 PM,Liberty Park,LP Main
32,46,5/5/2022,5:00 PM,Hillyard,HY North
84,105,5/5/2022,4:00 PM,Shadle Park,SH East
46,54,5/5/2022,4:00 PM,Liberty Park,LP Main
48,41,5/5/2022,4:00 PM,Hillyard,HY North
176,73,5/5/2022,3:00 PM,Shadle Park,SH East
40,27,5/5/2022,3:00 PM,Liberty Park,LP Main
56,68,5/5/2022,3:00 PM,Hillyard,HY North
108,86,5/5/2022,2:00 PM,Shadle Park,SH East
44,44,5/5/2022,2:00 PM,Liberty Park,LP Main
52,25,5/5/2022,2:00 PM,Hillyard,HY North
95,56,5/5/2022,1:00 PM,Shadle Park,SH East
28,51,5/5/2022,1:00 PM,Liberty Park,LP Main
72,63,5/5/2022,1:00 PM,Hillyard,HY North
70,92,5/5/2022,12:00 PM,Shadle Park,SH East
49,55,5/5/2022,12:00 PM,Liberty Park,LP Main
64,76,5/5/2022,12:00 PM,Hillyard,HY North
75,138,5/5/2022,11:00 AM,Shadle Park,SH East
28,33,5/5/2022,11:00 AM,Liberty Park,LP Main
73,81,5/5/2022,11:00 AM,Hillyard,HY North
113,84,5/5/2022,10:00 AM,Shadle Park,SH East
66,41,5/5/2022,10:00 AM,Liberty Park,LP Main
56,37,5/5/2022,10:00 AM,Hillyard,HY North
121,29,5/5/2022,9:00 AM,Shadle Park,SH East
